,Wavenumber (cm-1),Best fit (AU),pseudo-voigt component 0 (AU),pseudo-voigt component 1 (AU)
0,1799.2879999999998,0.11771913523780521,1.9411436929990376e-17,1.064216792172364e-09
1,1801.2160000000001,0.11772247580911172,4.1299739227115184e-17,1.0813484118857618e-09
2,1803.145,0.11772581820836461,8.72004989422188e-17,1.0989040649246765e-09
3,1805.0729999999999,0.11772915897015833,1.8254753469317923e-16,1.1168789832050897e-09
4,1807.0020000000002,0.11773250156003016,3.791603304268774e-16,1.1353058013415323e-09
5,1808.93,0.11773584251237802,7.807594394055542e-16,1.1541799646787346e-09
6,1810.859,0.11773918529293827,1.5950638041341256e-15,1.1735362128367455e-09
7,1812.787,0.11774252643591265,3.230580752102696e-15,1.1933702567382284e-09
8,1814.7160000000001,0.11774586940723707,6.4914442581955584e-15,1.2137191230382605e-09
9,1816.644,0.11774921074091808,1.2931393077953843e-14,1.2345788487023972e-09
10,1818.5729999999999,0.11775255390309305,2.5556576060596033e-14,1.2559889491717565e-09
11,1820.501,0.11775589542757621,5.0073330118689476e-14,1.2779458576873907e-09
12,1822.43,0.11775923878071232,9.733289826261298e-14,1.300491802741998e-09
13,1824.358,0.11776258049613389,1.8756978813937606e-13,1.323623695882406e-09
14,1826.287,0.1177659240404123,3.5860116181899657e-13,1.347386729262111e-09
15,1828.215,0.11776926594703295,6.796952721446194e-13,1.3717783900532204e-09
16,1830.144,0.11777260968285669,1.2780817259299274e-12,1.3968471174816997e-09
17,1832.0720000000001,0.11777595178133235,2.382651252897348e-12,1.422591094681598e-09
18,1834.001,0.11777929570980712,4.406567365450506e-12,1.4490623382149443e-09
19,1835.9289999999999,0.11778263800203503,8.079817627270509e-12,1.4762598911374624e-09
20,1837.858,0.11778598212644575,1.4697282654162804e-11,1.5042397613670263e-09
21,1839.786,0.1177893246181143,2.6505590199006373e-11,1.5330021193024956e-09
22,1841.715,0.11779266894829289,4.742076111852126e-11,1.5626075676998855e-09
23,1843.6429999999998,0.1177960116562859,8.41139911438468e-11,1.5930579526157327e-09
24,1845.5720000000001,0.11779935622105811,1.480112867392999e-10,1.6244195738754125e-09
25,1847.5,0.11780269919415863,2.5822235743358445e-10,1.656697304149235e-09
26,1849.4289999999999,0.11780604407548981,4.4690579687392773e-10,1.689965638806216e-09
27,1851.3570000000002,0.11780938745009611,7.668568173227041e-10,1.7242361346057437e-09
28,1853.286,0.11781273287322247,1.3053650527275723e-09,1.7595979299100694e-09
29,1855.214,0.11781607701758404,2.2030764275974583e-09,1.796079459138265e-09
30,1857.1429999999998,0.11781942357981491,3.6884407791811895e-09,1.8338019840983533e-09
31,1859.0710000000001,0.1178227694530281,6.1226535312716425e-09,1.87283913144272e-09
32,1861.0,0.1178261186820115,1.008204166800908e-08,1.913391943719396e-09
33,1862.9279999999999,0.11782946869256455,1.6460561459364066e-08,1.9556565507508984e-09
34,1864.8570000000002,0.11783282435465607,2.665931589785215e-08,2.000041943793209e-09
35,1866.785,0.11783618433187901,4.28099228084964e-08,2.047073088310585e-09
36,1868.714,0.11783955537517458,6.819371550070125e-08,2.0977042916046115e-09
37,1870.642,0.11784293891229139,1.0770579844862995e-07,2.1533263417125495e-09
38,1872.5710000000001,0.11784634581468575,1.6874641137404231e-07,2.2163052376933122e-09
39,1874.499,0.11784978343862204,2.621371444489642e-07,2.2902589205630962e-09
